id_client,genre,age,permis_conduire,code_regional,ancien_assure,age_vehicule,vehicule_endommage,prime_annuelle,canal_communication,anciennete,reponse_client
1,male,44,1,28.0,0,> 2 ans,oui,40454.0,26.0,217,1
2,male,76,1,3.0,0,1-2 an,no,33536.0,26.0,183,0
3,male,47,1,28.0,0,> 2 ans,oui,38294.0,26.0,27,1
4,male,21,1,11.0,1,< 1 an,no,28619.0,152.0,203,0
5,femelle,29,1,41.0,1,< 1 an,no,27496.0,152.0,39,0
6,femelle,24,1,33.0,0,< 1 an,oui,2630.0,160.0,176,0
7,male,23,1,11.0,0,< 1 an,oui,23367.0,152.0,249,0
8,femelle,56,1,28.0,0,1-2 an,oui,32031.0,26.0,72,1
9,femelle,24,1,3.0,1,< 1 an,no,27619.0,152.0,28,0
10,femelle,32,1,6.0,1,< 1 an,no,28771.0,152.0,80,0
11,femelle,47,1,35.0,0,1-2 an,oui,47576.0,124.0,46,1
12,femelle,24,1,50.0,1,< 1 an,no,48699.0,152.0,289,0
13,femelle,41,1,15.0,1,1-2 an,no,31409.0,14.0,221,0
14,male,76,1,28.0,0,1-2 an,oui,36770.0,13.0,15,0
15,male,71,1,28.0,1,1-2 an,no,46818.0,30.0,58,0
16,male,37,1,6.0,0,1-2 an,oui,2630.0,156.0,147,1
17,femelle,25,1,45.0,0,< 1 an,oui,26218.0,160.0,256,0
18,femelle,25,1,35.0,1,< 1 an,no,46622.0,152.0,299,0
19,male,42,1,28.0,0,1-2 an,oui,33667.0,124.0,158,0
20,femelle,60,1,33.0,0,1-2 an,oui,32363.0,124.0,102,1
21,male,65,1,28.0,0,1-2 an,oui,41184.0,124.0,116,0
22,male,49,1,28.0,0,1-2 an,oui,50791.0,124.0,177,0
23,male,23,1,50.0,1,< 1 an,no,45283.0,152.0,232,0
24,male,44,1,28.0,0,1-2 an,oui,41852.0,163.0,60,0
25,male,34,1,15.0,1,1-2 an,no,38111.0,152.0,180,0
26,femelle,21,1,28.0,1,< 1 an,no,61964.0,152.0,72,0
27,femelle,51,1,28.0,0,1-2 an,oui,38341.0,124.0,49,1
28,male,26,1,6.0,1,< 1 an,no,19135.0,152.0,57,0
29,femelle,25,1,8.0,1,< 1 an,no,27946.0,152.0,223,0
30,male,57,1,11.0,0,1-2 an,oui,25679.0,157.0,232,1
31,femelle,26,1,8.0,0,< 1 an,no,2630.0,160.0,136,0
32,male,79,1,28.0,0,1-2 an,oui,57444.0,26.0,222,0
33,femelle,48,1,28.0,0,1-2 an,oui,36951.0,122.0,149,0
